"t","CO2","H2","formic_acid","formaldehyde","methanol","CO","acetic_acid","H2O"
6.2594051102565e-07,4833,4826,160,7,0,0,0,7
6.26912334232684e-07,4832,4825,161,7,0,0,0,7
6.27744932028628e-07,4831,4824,162,7,0,0,0,7
6.36532510351983e-07,4830,4823,163,7,0,0,0,7
6.41761893238267e-07,4829,4822,164,7,0,0,0,7
6.43905906917921e-07,4828,4821,165,7,0,0,0,7
6.45343860311888e-07,4827,4820,166,7,0,0,0,7
6.56807408196232e-07,4826,4819,167,7,0,0,0,7
6.58738396339138e-07,4825,4818,168,7,0,0,0,7
6.62277422618645e-07,4824,4817,169,7,0,0,0,7
6.64557638229823e-07,4823,4816,170,7,0,0,0,7
6.6705448585275e-07,4822,4815,171,7,0,0,0,7
6.67569411300954e-07,4821,4814,172,7,0,0,0,7
6.74332778508248e-07,4820,4813,173,7,0,0,0,7
6.84742671661967e-07,4819,4812,174,7,0,0,0,7
6.84953755721165e-07,4818,4811,175,7,0,0,0,7
6.87631410437218e-07,4817,4810,176,7,0,0,0,7
6.9206829509581e-07,4816,4809,177,7,0,0,0,7
6.98146045067208e-07,4815,4808,178,7,0,0,0,7
7.00295288258246e-07,4814,4807,179,7,0,0,0,7
7.00539591873721e-07,4813,4806,180,7,0,0,0,7
7.02455804137844e-07,4812,4805,181,7,0,0,0,7
7.04210772723541e-07,4811,4804,182,7,0,0,0,7
7.08514744150489e-07,4811,4803,181,8,0,0,0,8
7.11073854177157e-07,4810,4802,182,8,0,0,0,8
7.13853462302347e-07,4809,4801,183,8,0,0,0,8
7.27438962296408e-07,4808,4800,184,8,0,0,0,8
7.29255984804929e-07,4807,4799,185,8,0,0,0,8
7.39547677874023e-07,4806,4798,186,8,0,0,0,8
7.40471551380347e-07,4805,4797,187,8,0,0,0,8
7.41651389672391e-07,4804,4796,188,8,0,0,0,8
7.46594504799747e-07,4803,4795,189,8,0,0,0,8
7.48306032935816e-07,4802,4794,190,8,0,0,0,8
7.49708207505774e-07,4801,4793,191,8,0,0,0,8
7.58212417332245e-07,4800,4792,192,8,0,0,0,8
7.59066894830477e-07,4799,4791,193,8,0,0,0,8
7.69316816428592e-07,4798,4790,194,8,0,0,0,8
7.7126291227085e-07,4797,4789,195,8,0,0,0,8
7.73984662293729e-07,4796,4788,196,8,0,0,0,8
7.82710607722671e-07,4795,4787,197,8,0,0,0,8
